key,value,date
biden-personal,0.490196078,8/2/20
biden-personal,0.648298217,8/9/20
biden-personal,0.750750751,8/16/20
biden-personal,0.437317784,8/23/20
biden-personal,1.187335092,8/30/20
biden-personal,0,9/6/20
biden-personal,0.51457976,9/14/20
biden-personal,0.133155792,9/20/20
biden-personal,1.351351351,9/27/20
biden-personal,1.822600243,10/4/20
biden-personal,2.436053593,10/11/20
biden-personal,11.29441624,10/18/20
biden-personal,9.987819732,10/25/20
biden-personal,7.320099256,11/1/20
biden-personal,2.361275089,11/10/20
election-integrity,0,8/2/20
election-integrity,0,8/9/20
election-integrity,0.3003003,8/16/20
election-integrity,0.145772595,8/23/20
election-integrity,0.131926121,8/30/20
election-integrity,0,9/6/20
election-integrity,0.343053173,9/14/20
election-integrity,0,9/20/20
election-integrity,0.405405405,9/27/20
election-integrity,0,10/4/20
election-integrity,0,10/11/20
election-integrity,0,10/18/20
election-integrity,0.365408039,10/25/20
election-integrity,0.124069479,11/1/20
election-integrity,1.180637544,11/10/20
climate,0,8/2/20
climate,0,8/9/20
climate,0,8/16/20
climate,0,8/23/20
climate,0,8/30/20
climate,0.407608696,9/6/20
climate,0.171526587,9/14/20
climate,0.133155792,9/20/20
climate,0,9/27/20
climate,0,10/4/20
climate,0.365408039,10/11/20
climate,0.126903553,10/18/20
climate,0.12180268,10/25/20
climate,0.496277916,11/1/20
climate,0,11/10/20
law-enforcement,0.653594771,8/2/20
law-enforcement,0,8/9/20
law-enforcement,0,8/16/20
law-enforcement,0,8/23/20
law-enforcement,0.527704485,8/30/20
law-enforcement,0.135869565,9/6/20
law-enforcement,0,9/14/20
law-enforcement,0,9/20/20
law-enforcement,0.135135135,9/27/20
law-enforcement,0,10/4/20
law-enforcement,0,10/11/20
law-enforcement,0,10/18/20
law-enforcement,0.365408039,10/25/20
law-enforcement,0,11/1/20
law-enforcement,0,11/10/20
campaigning,0,8/2/20
campaigning,0,8/9/20
campaigning,0,8/16/20
campaigning,0,8/23/20
campaigning,0,8/30/20
campaigning,0,9/6/20
campaigning,0,9/14/20
campaigning,0,9/20/20
campaigning,0,9/27/20
campaigning,0,10/4/20
campaigning,0,10/11/20
campaigning,0,10/18/20
campaigning,0,10/25/20
campaigning,0,11/1/20
campaigning,0,11/10/20
covid,0,8/2/20
covid,0,8/9/20
covid,0,8/16/20
covid,0.437317784,8/23/20
covid,0.131926121,8/30/20
covid,0,9/6/20
covid,0.171526587,9/14/20
covid,0,9/20/20
covid,0,9/27/20
covid,0.121506683,10/4/20
covid,0.12180268,10/11/20
covid,0,10/18/20
covid,0,10/25/20
covid,0,11/1/20
covid,0,11/10/20
economy,0,8/2/20
economy,0,8/9/20
economy,0,8/16/20
economy,0,8/23/20
economy,0,8/30/20
economy,0,9/6/20
economy,0,9/14/20
economy,0,9/20/20
economy,0,9/27/20
economy,0,10/4/20
economy,0,10/11/20
economy,0,10/18/20
economy,0,10/25/20
economy,0,11/1/20
economy,0,11/10/20
healthcare,0,8/2/20
healthcare,0,8/9/20
healthcare,0,8/16/20
healthcare,0,8/23/20
healthcare,0,8/30/20
healthcare,0,9/6/20
healthcare,0,9/14/20
healthcare,0,9/20/20
healthcare,0,9/27/20
healthcare,0,10/4/20
healthcare,0,10/11/20
healthcare,0,10/18/20
healthcare,0,10/25/20
healthcare,0.124069479,11/1/20
healthcare,0,11/10/20
military,0,8/2/20
military,0,8/9/20
military,0,8/16/20
military,0,8/23/20
military,0,8/30/20
military,0,9/6/20
military,0,9/14/20
military,0,9/20/20
military,0.27027027,9/27/20
military,0,10/4/20
military,0.12180268,10/11/20
military,0,10/18/20
military,0,10/25/20
military,0,11/1/20
military,0,11/10/20
racism,0,8/2/20
racism,0.162074554,8/9/20
racism,0,8/16/20
racism,0.145772595,8/23/20
racism,0.131926121,8/30/20
racism,0,9/6/20
racism,0.171526587,9/14/20
racism,0.133155792,9/20/20
racism,0.135135135,9/27/20
racism,0,10/4/20
racism,0,10/11/20
racism,0.253807107,10/18/20
racism,0.12180268,10/25/20
racism,0,11/1/20
racism,0,11/10/20
taxes,0,8/2/20
taxes,0,8/9/20
taxes,0,8/16/20
taxes,0,8/23/20
taxes,0,8/30/20
taxes,0,9/6/20
taxes,0,9/14/20
taxes,0,9/20/20
taxes,0,9/27/20
taxes,0,10/4/20
taxes,0,10/11/20
taxes,0,10/18/20
taxes,0,10/25/20
taxes,0,11/1/20
taxes,0,11/10/20
courts,0,8/2/20
courts,0,8/9/20
courts,0,8/16/20
courts,0,8/23/20
courts,0,8/30/20
courts,0,9/6/20
courts,0,9/14/20
courts,0,9/20/20
courts,0,9/27/20
courts,0,10/4/20
courts,0,10/11/20
courts,0,10/18/20
courts,0,10/25/20
courts,0,11/1/20
courts,0,11/10/20
immigration,0,8/2/20
immigration,0,8/9/20
immigration,0,8/16/20
immigration,0,8/23/20
immigration,0,8/30/20
immigration,0,9/6/20
immigration,0,9/14/20
immigration,0,9/20/20
immigration,0,9/27/20
immigration,0,10/4/20
immigration,0,10/11/20
immigration,0,10/18/20
immigration,0,10/25/20
immigration,0,11/1/20
immigration,0,11/10/20
foreign-relations,0,8/2/20
foreign-relations,0,8/9/20
foreign-relations,0,8/16/20
foreign-relations,0,8/23/20
foreign-relations,0,8/30/20
foreign-relations,0,9/6/20
foreign-relations,0,9/14/20
foreign-relations,0,9/20/20
foreign-relations,0,9/27/20
foreign-relations,0,10/4/20
foreign-relations,0,10/11/20
foreign-relations,0,10/18/20
foreign-relations,0,10/25/20
foreign-relations,0,11/1/20
foreign-relations,0,11/10/20
