key,value,date
biden-personal,2573,8/1/20
biden-personal,9885,8/2/20
biden-personal,4094,8/3/20
biden-personal,5366,8/4/20
biden-personal,6157,8/5/20
biden-personal,3629,8/6/20
biden-personal,2682,8/7/20
biden-personal,10188,8/8/20
biden-personal,2944,8/9/20
biden-personal,9717,8/10/20
biden-personal,10126,8/11/20
biden-personal,5159,8/12/20
biden-personal,2185,8/13/20
biden-personal,5734,8/14/20
biden-personal,14111,8/15/20
biden-personal,4429,8/16/20
biden-personal,3921,8/17/20
biden-personal,1172,8/18/20
biden-personal,3118,8/19/20
biden-personal,23583,8/20/20
biden-personal,8370,8/21/20
biden-personal,946,8/22/20
biden-personal,6038,8/23/20
biden-personal,3100,8/24/20
biden-personal,2427,8/25/20
biden-personal,30196,8/26/20
biden-personal,1247,8/27/20
biden-personal,1120,8/28/20
biden-personal,1949,8/29/20
biden-personal,1307,8/30/20
biden-personal,619,8/31/20
biden-personal,1394,9/1/20
biden-personal,7920,9/2/20
biden-personal,2167,9/3/20
biden-personal,1427,9/4/20
biden-personal,2379,9/5/20
biden-personal,329,9/6/20
biden-personal,4650,9/7/20
biden-personal,4648,9/8/20
biden-personal,2008,9/9/20
biden-personal,371,9/10/20
biden-personal,1339,9/11/20
biden-personal,7917,9/12/20
biden-personal,2840,9/13/20
biden-personal,519,9/14/20
biden-personal,6080,9/15/20
biden-personal,14404,9/16/20
biden-personal,942,9/17/20
biden-personal,9043,9/18/20
biden-personal,814,9/19/20
biden-personal,670,9/20/20
biden-personal,7133,9/21/20
biden-personal,8421,9/22/20
biden-personal,49735,9/23/20
biden-personal,129584,9/24/20
biden-personal,47770,9/25/20
biden-personal,16291,9/26/20
biden-personal,15704,9/27/20
biden-personal,34493,9/28/20
biden-personal,20618,9/29/20
biden-personal,5310,9/30/20
biden-personal,66046,10/1/20
biden-personal,7358,10/2/20
biden-personal,21357,10/3/20
biden-personal,11757,10/4/20
biden-personal,2243,10/5/20
biden-personal,31092,10/6/20
biden-personal,4132,10/7/20
biden-personal,5167,10/8/20
biden-personal,5564,10/9/20
biden-personal,8629,10/10/20
biden-personal,13296,10/11/20
biden-personal,25236,10/12/20
biden-personal,1621,10/13/20
biden-personal,46359,10/14/20
biden-personal,179758,10/15/20
biden-personal,130961,10/16/20
biden-personal,4745,10/17/20
biden-personal,169767,10/18/20
biden-personal,22137,10/19/20
biden-personal,69501,10/20/20
biden-personal,162567,10/21/20
biden-personal,101595,10/22/20
biden-personal,46957,10/23/20
biden-personal,18073,10/24/20
biden-personal,82189,10/25/20
biden-personal,22680,10/26/20
biden-personal,103681,10/27/20
biden-personal,75,10/28/20
biden-personal,32507,10/29/20
biden-personal,206517,10/30/20
biden-personal,114430,10/31/20
biden-personal,45038,11/1/20
biden-personal,24637,11/2/20
biden-personal,3949,11/3/20
election-integrity,1478,8/1/20
election-integrity,1067,8/2/20
election-integrity,490,8/3/20
election-integrity,864,8/4/20
election-integrity,805,8/5/20
election-integrity,1182,8/6/20
election-integrity,1244,8/7/20
election-integrity,1193,8/8/20
election-integrity,729,8/9/20
election-integrity,491,8/10/20
election-integrity,147,8/11/20
election-integrity,3067,8/12/20
