key,value,date
biden-personal,0,8/2/20
biden-personal,0,8/9/20
biden-personal,0,8/16/20
biden-personal,0.144092219,8/23/20
biden-personal,1.120797011,8/30/20
biden-personal,0.260416667,9/6/20
biden-personal,0.477707006,9/14/20
biden-personal,0.36900369,9/20/20
biden-personal,0.129032258,9/27/20
biden-personal,0.564334086,10/4/20
biden-personal,0.444938821,10/11/20
biden-personal,0.240096038,10/18/20
biden-personal,2.418379686,10/25/20
biden-personal,0.494437577,11/1/20
biden-personal,0,11/10/20
election-integrity,1.432664756,8/2/20
election-integrity,2.428571429,8/9/20
election-integrity,10.87289433,8/16/20
election-integrity,7.925072046,8/23/20
election-integrity,1.867995019,8/30/20
election-integrity,5.729166667,9/6/20
election-integrity,0.636942675,9/14/20
election-integrity,1.59901599,9/20/20
election-integrity,2.709677419,9/27/20
election-integrity,0.677200903,10/4/20
election-integrity,0.444938821,10/11/20
election-integrity,0.360144058,10/18/20
election-integrity,0,10/25/20
election-integrity,0.618046972,11/1/20
election-integrity,5.399061033,11/10/20
climate,0,8/2/20
climate,0,8/9/20
climate,0,8/16/20
climate,0,8/23/20
climate,0,8/30/20
climate,0,9/6/20
climate,0.159235669,9/14/20
climate,0,9/20/20
climate,0,9/27/20
climate,0,10/4/20
climate,0,10/11/20
climate,0,10/18/20
climate,0,10/25/20
climate,0,11/1/20
climate,0,11/10/20
law-enforcement,0,8/2/20
law-enforcement,0,8/9/20
law-enforcement,0.153139357,8/16/20
law-enforcement,0,8/23/20
law-enforcement,0,8/30/20
law-enforcement,0.130208333,9/6/20
law-enforcement,0,9/14/20
law-enforcement,0,9/20/20
law-enforcement,0,9/27/20
law-enforcement,0,10/4/20
law-enforcement,0,10/11/20
law-enforcement,0,10/18/20
law-enforcement,0.120918984,10/25/20
law-enforcement,0,11/1/20
law-enforcement,0,11/10/20
campaigning,0,8/2/20
campaigning,0,8/9/20
campaigning,0,8/16/20
campaigning,0,8/23/20
campaigning,0,8/30/20
campaigning,0,9/6/20
campaigning,0.159235669,9/14/20
campaigning,0.12300123,9/20/20
campaigning,0,9/27/20
campaigning,0,10/4/20
campaigning,0,10/11/20
campaigning,0,10/18/20
campaigning,0,10/25/20
campaigning,0,11/1/20
campaigning,0,11/10/20
covid,0,8/2/20
covid,0,8/9/20
covid,0,8/16/20
covid,0,8/23/20
covid,0,8/30/20
covid,0.260416667,9/6/20
covid,0,9/14/20
covid,0,9/20/20
covid,0,9/27/20
covid,0,10/4/20
covid,0,10/11/20
covid,0,10/18/20
covid,0.241837969,10/25/20
covid,0,11/1/20
covid,0,11/10/20
economy,0,8/2/20
economy,0,8/9/20
economy,0,8/16/20
economy,0,8/23/20
economy,0,8/30/20
economy,0,9/6/20
economy,0,9/14/20
economy,0,9/20/20
economy,0,9/27/20
economy,0,10/4/20
economy,0,10/11/20
economy,0,10/18/20
economy,0,10/25/20
economy,0,11/1/20
economy,0,11/10/20
healthcare,0,8/2/20
healthcare,0,8/9/20
healthcare,0,8/16/20
healthcare,0,8/23/20
healthcare,0,8/30/20
healthcare,0,9/6/20
healthcare,0,9/14/20
healthcare,0.12300123,9/20/20
healthcare,0,9/27/20
healthcare,0,10/4/20
healthcare,0,10/11/20
healthcare,0,10/18/20
healthcare,0,10/25/20
healthcare,0,11/1/20
healthcare,0,11/10/20
military,0,8/2/20
military,0,8/9/20
military,0,8/16/20
military,0,8/23/20
military,0,8/30/20
military,0,9/6/20
military,0,9/14/20
military,0,9/20/20
military,0,9/27/20
military,0,10/4/20
military,0,10/11/20
military,0,10/18/20
military,0,10/25/20
military,0,11/1/20
military,0,11/10/20
racism,0,8/2/20
racism,0,8/9/20
racism,0,8/16/20
racism,0.144092219,8/23/20
racism,0.871731009,8/30/20
racism,0.130208333,9/6/20
racism,0,9/14/20
racism,0.12300123,9/20/20
racism,0.129032258,9/27/20
racism,0,10/4/20
racism,0.22246941,10/11/20
racism,0,10/18/20
racism,0.604594921,10/25/20
racism,0,11/1/20
racism,0,11/10/20
taxes,0,8/2/20
taxes,0,8/9/20
taxes,0,8/16/20
taxes,0,8/23/20
taxes,0,8/30/20
taxes,0,9/6/20
taxes,0,9/14/20
taxes,0,9/20/20
taxes,0.129032258,9/27/20
taxes,1.015801354,10/4/20
taxes,0.111234705,10/11/20
taxes,0.120048019,10/18/20
taxes,0,10/25/20
taxes,0.123609394,11/1/20
taxes,0,11/10/20
courts,0,8/2/20
courts,0,8/9/20
courts,0,8/16/20
courts,0,8/23/20
courts,0,8/30/20
courts,0,9/6/20
courts,0,9/14/20
courts,0,9/20/20
courts,0,9/27/20
courts,0,10/4/20
courts,0,10/11/20
courts,0,10/18/20
courts,0,10/25/20
courts,0,11/1/20
courts,0,11/10/20
immigration,0,8/2/20
immigration,0,8/9/20
immigration,0,8/16/20
immigration,0,8/23/20
immigration,0,8/30/20
immigration,0,9/6/20
immigration,0,9/14/20
immigration,0,9/20/20
immigration,0,9/27/20
immigration,0,10/4/20
immigration,0,10/11/20
immigration,0,10/18/20
immigration,0,10/25/20
immigration,0,11/1/20
immigration,0,11/10/20
foreign-relations,0,8/2/20
foreign-relations,0,8/9/20
foreign-relations,0,8/16/20
foreign-relations,0,8/23/20
foreign-relations,0,8/30/20
foreign-relations,0,9/6/20
foreign-relations,0,9/14/20
foreign-relations,0,9/20/20
foreign-relations,0,9/27/20
foreign-relations,0,10/4/20
foreign-relations,0,10/11/20
foreign-relations,0,10/18/20
foreign-relations,0,10/25/20
foreign-relations,0,11/1/20
foreign-relations,0,11/10/20
