key,value,date
biden-personal,167,8/1/20
biden-personal,79,8/2/20
biden-personal,178,8/3/20
biden-personal,153,8/4/20
biden-personal,459,8/5/20
biden-personal,64,8/6/20
biden-personal,510,8/7/20
biden-personal,305,8/8/20
biden-personal,163,8/9/20
biden-personal,196,8/10/20
biden-personal,243,8/11/20
biden-personal,150,8/12/20
biden-personal,46,8/13/20
biden-personal,177,8/14/20
biden-personal,142,8/15/20
biden-personal,85,8/16/20
biden-personal,30,8/17/20
biden-personal,192,8/18/20
biden-personal,571,8/19/20
biden-personal,271,8/20/20
biden-personal,657,8/21/20
biden-personal,286,8/22/20
biden-personal,95,8/23/20
biden-personal,202,8/24/20
biden-personal,522,8/25/20
biden-personal,347,8/26/20
biden-personal,205,8/27/20
biden-personal,113,8/28/20
biden-personal,82,8/29/20
biden-personal,550,8/30/20
biden-personal,230,8/31/20
biden-personal,44,9/1/20
biden-personal,82,9/2/20
biden-personal,374,9/3/20
biden-personal,111,9/4/20
biden-personal,114,9/5/20
biden-personal,4,9/6/20
biden-personal,131,9/7/20
biden-personal,5346,9/8/20
biden-personal,217,9/9/20
biden-personal,724,9/10/20
biden-personal,225,9/11/20
biden-personal,489,9/12/20
biden-personal,111,9/13/20
biden-personal,274,9/14/20
biden-personal,383,9/15/20
biden-personal,322,9/16/20
biden-personal,517,9/17/20
biden-personal,41,9/18/20
biden-personal,79,9/19/20
biden-personal,112,9/20/20
biden-personal,79,9/21/20
biden-personal,448,9/22/20
biden-personal,43445,9/23/20
biden-personal,3290,9/24/20
biden-personal,1752,9/25/20
biden-personal,4800,9/26/20
biden-personal,2252,9/27/20
biden-personal,15627,9/28/20
biden-personal,1554,9/29/20
biden-personal,19828,9/30/20
biden-personal,6736,10/1/20
biden-personal,4417,10/2/20
biden-personal,606,10/3/20
biden-personal,110,10/4/20
biden-personal,998,10/5/20
biden-personal,769,10/6/20
biden-personal,115,10/7/20
biden-personal,66,10/8/20
biden-personal,212,10/9/20
biden-personal,353,10/10/20
biden-personal,17303,10/11/20
biden-personal,560,10/12/20
biden-personal,636,10/13/20
biden-personal,170,10/14/20
biden-personal,3305,10/15/20
biden-personal,13036,10/16/20
biden-personal,20861,10/17/20
biden-personal,3444,10/18/20
biden-personal,9167,10/19/20
biden-personal,4706,10/20/20
biden-personal,6134,10/21/20
biden-personal,24079,10/22/20
biden-personal,3980,10/23/20
biden-personal,5508,10/24/20
biden-personal,896,10/25/20
biden-personal,15491,10/26/20
biden-personal,549,10/27/20
biden-personal,3560,10/28/20
biden-personal,15837,10/29/20
biden-personal,29340,10/30/20
biden-personal,3018,10/31/20
biden-personal,2563,11/1/20
biden-personal,1858,11/2/20
biden-personal,916,11/3/20
election-integrity,1849,8/1/20
election-integrity,2116,8/2/20
election-integrity,3697,8/3/20
election-integrity,3888,8/4/20
election-integrity,8319,8/5/20
election-integrity,1056,8/6/20
election-integrity,1030,8/7/20
election-integrity,5363,8/8/20
election-integrity,5440,8/9/20
election-integrity,2976,8/10/20
election-integrity,3882,8/11/20
election-integrity,2308,8/12/20
election-integrity,12258,8/13/20
election-integrity,15107,8/14/20
election-integrity,13166,8/15/20
election-integrity,19479,8/16/20
election-integrity,20794,8/17/20
election-integrity,11215,8/18/20
election-integrity,42445,8/19/20
election-integrity,6628,8/20/20
election-integrity,15217,8/21/20
election-integrity,7187,8/22/20
election-integrity,5160,8/23/20
election-integrity,5955,8/24/20
election-integrity,3883,8/25/20
election-integrity,492,8/26/20
election-integrity,1901,8/27/20
election-integrity,1054,8/28/20
election-integrity,2345,8/29/20
election-integrity,7651,8/30/20
election-integrity,2133,8/31/20
election-integrity,1110,9/1/20
election-integrity,3626,9/2/20
election-integrity,36046,9/3/20
election-integrity,8902,9/4/20
election-integrity,5845,9/5/20
election-integrity,497,9/6/20
election-integrity,7585,9/7/20
election-integrity,5474,9/8/20
election-integrity,4216,9/9/20
election-integrity,5037,9/10/20
election-integrity,2099,9/11/20
election-integrity,19592,9/12/20
election-integrity,8245,9/13/20
election-integrity,5442,9/14/20
election-integrity,2657,9/15/20
election-integrity,1878,9/16/20
election-integrity,11141,9/17/20
election-integrity,487,9/18/20
election-integrity,3463,9/19/20
election-integrity,10600,9/20/20
election-integrity,4709,9/21/20
election-integrity,2278,9/22/20
election-integrity,12468,9/23/20
election-integrity,7857,9/24/20
election-integrity,14876,9/25/20
election-integrity,21538,9/26/20
election-integrity,6448,9/27/20
election-integrity,12948,9/28/20
election-integrity,4159,9/29/20
election-integrity,3564,9/30/20
election-integrity,2328,10/1/20
election-integrity,3539,10/2/20
election-integrity,2304,10/3/20
election-integrity,2620,10/4/20
election-integrity,1017,10/5/20
election-integrity,3257,10/6/20
election-integrity,4907,10/7/20
election-integrity,904,10/8/20
election-integrity,4625,10/9/20
election-integrity,1013,10/10/20
election-integrity,1759,10/11/20
election-integrity,31,10/12/20
